CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1685587,16000075072,201675072,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 06:57:59 PM,2 AV / PIKE ST,M,M3,8100.3003,-122.338905,47.609283,"(47.609283, -122.338905)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 02:10:42 PM
1685556,16000075242,201675242,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/02/2016 06:53:57 PM,71XX BLOCK OF FAUNTLEROY WY SW,W,W3,11600.6000,-122.39109,47.538822,"(47.538822, -122.39109)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,03/02/2016 05:32:36 PM
1685372,16000075308,201675308,071,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,03/02/2016 06:53:39 PM,123XX BLOCK OF 28 AV NE,L,L1,700.1004,-122.29792,47.718376,"(47.718376, -122.29792)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,03/02/2016 05:48:30 PM
1685487,16000075424,201675424,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 06:52:59 PM,NE 65 ST / SAND POINT WY NE,U,U3,4000.1028,-122.26355,47.67572,"(47.67572, -122.26355)",TRAFFIC - BLOCKING ROADWAY,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 06:22:43 PM
1685600,16000074932,201674932,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 06:52:50 PM,48 AV S / S OTHELLO ST,S,S2,11101.3000,-122.272644,47.53695,"(47.53695, -122.272644)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 12:19:16 PM
1685470,16000075448,201675448,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 06:47:13 PM,PIKE ST / MELROSE AV,E,E3,8400.3004,-122.32781,47.61393,"(47.61393, -122.32781)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 06:47:13 PM
1685559,16000075229,201675229,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 06:41:52 PM,S MYRTLE PL / S OTHELLO ST,S,S1,11001.1009,-122.286064,47.537064,"(47.537064, -122.286064)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 03:58:41 PM
1685509,16000075394,201675394,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 06:29:40 PM,7XX BLOCK OF N 95 ST,N,N3,1300.3017,-122.34865,47.69782,"(47.69782, -122.34865)",TRAFFIC - BLOCKING ROADWAY,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 06:26:54 PM
1685518,16000075381,201675381,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 06:29:38 PM,100XX BLOCK OF AURORA AV N,N,N3,1300.3000,-122.34466,47.701794,"(47.701794, -122.34466)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/02/2016 06:22:32 PM
1685494,16000075416,201675416,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 06:28:43 PM,71XX BLOCK OF M L KING JR WY S,S,S2,11101.2005,-122.28174,47.537964,"(47.537964, -122.28174)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 06:23:37 PM
1685369,16000075314,201675314,074,LICENSE PLATE THEFT OR LOSS,CAR PROWL,CAR PROWL,03/02/2016 06:27:42 PM,56XX BLOCK OF S WILLOW ST,R,R3,11102.1005,-122.26262,47.54067,"(47.54067, -122.26262)","AUTO THEFT-IP/JO - VEHICLE, PLATES, TABS",AUTO THEFTS,AUTO RECOVERIES,03/02/2016 05:00:01 PM
1685552,16000075253,201675253,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 06:26:55 PM,15XX BLOCK OF 12 AV,E,E2,7500.4006,-122.31685,47.614685,"(47.614685, -122.31685)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 04:12:57 PM
1685498,16000075409,201675409,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 06:24:26 PM,2 AV / PIKE ST,M,M3,8100.3003,-122.338905,47.609283,"(47.609283, -122.338905)","WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,03/02/2016 06:17:46 PM
1685570,16000075197,201675197,192,MISDEMEANOR WARRANT SERVICE,WARRANT CALLS,ARREST,03/02/2016 06:22:58 PM,3 AV / VIRGINIA ST,M,M2,7200.1067,-122.3409,47.612396,"(47.612396, -122.3409)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 03:31:18 PM
1685513,16000075388,201675388,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 06:21:33 PM,E GREEN LAKE DR N / WALLINGFORD AV N,J,J3,2700.3010,-122.33677,47.68561,"(47.68561, -122.33677)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 06:05:31 PM
1685356,16000075336,201675336,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 06:21:27 PM,18XX BLOCK OF TERRY AV,D,D2,7300.2023,-122.33294,47.615883,"(47.615883, -122.33294)",SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),OTHER PROPERTY,THEFT,03/02/2016 05:59:31 PM
1685337,16000075371,201675371,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 06:19:24 PM,82XX BLOCK OF 38 AV NE,U,U3,2400.1007,-122.28747,47.689312,"(47.689312, -122.28747)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 06:03:54 PM
1685562,16000075220,201675220,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 06:17:40 PM,E HARRISON ST / BROADWAY E,E,E1,7401.2007,-122.32091,47.621986,"(47.621986, -122.32091)","TRU- MOTOR VEHICLE COLLISION, HIT AND RUN AFTER THE FACT",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 05:29:55 PM
1685354,16000075338,201675338,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 06:17:02 PM,137XX BLOCK OF 28 AV NE,L,L1,200.1008,-122.297806,47.728695,"(47.728695, -122.297806)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 05:19:07 PM
1685368,16000075315,201675315,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",03/02/2016 06:16:08 PM,57XX BLOCK OF 22 AV NW,B,B1,4700.4005,-122.38474,47.670547,"(47.670547, -122.38474)",PROPERTY - FOUND,"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",03/02/2016 05:00:58 PM
1685590,16000075036,201675036,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 06:15:44 PM,4XX BLOCK OF PINE ST,M,M2,8100.2000,-122.33732,47.61132,"(47.61132, -122.33732)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,03/02/2016 02:41:22 PM
1685573,16000075187,201675187,064,SHOPLIFT,THEFT,SHOPLIFTING,03/02/2016 06:14:50 PM,14XX BLOCK OF S LANE ST,G,G3,9000.2033,-122.31344,47.596653,"(47.596653, -122.31344)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/02/2016 03:51:09 PM
1685579,16000075180,201675180,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 06:14:27 PM,22XX BLOCK OF 12 AV W,Q,Q2,6900.4004,-122.37252,47.640076,"(47.640076, -122.37252)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 04:39:41 PM
1685346,16000075351,201675351,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 06:14:24 PM,19XX BLOCK OF 14 AV E,C,C1,6500.1011,-122.31471,47.637104,"(47.637104, -122.31471)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 05:54:25 PM
1685603,16000074860,201674860,031,STRONG ARM ROBBERY,ROBBERY,ROBBERY,03/02/2016 06:13:59 PM,38XX BLOCK OF S OTHELLO ST,S,S1,11001.3001,-122.28405,47.53704,"(47.53704, -122.28405)",ROBBERY - IP/JO (INCLUDES STRONG ARM),ROBBERY,ROBBERY,03/02/2016 11:29:28 AM
1685371,16000075311,201675311,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 06:11:11 PM,105XX BLOCK OF AURORA AV N,N,N3,1300.2001,-122.3447,47.7058,"(47.7058, -122.3447)","TRU- MOTOR VEHICLE COLLISION, HIT AND RUN AFTER THE FACT",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 05:47:47 PM
1685339,16000075365,201675365,176,LIQUOR VIOLATION - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 06:09:19 PM,S STEVENS ST / BEACON AV S,R,R1,10002.2020,-122.31009,47.576992,"(47.576992, -122.31009)",LIQUOR VIOLATIONS - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 06:00:30 PM
1685380,16000075296,201675296,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 06:04:29 PM,4XX BLOCK OF PINE ST,M,M2,8100.2000,-122.33732,47.61132,"(47.61132, -122.33732)","PANHANDLING, AGGRESSIVE",DISTURBANCES,DISTURBANCES,03/02/2016 04:47:10 PM
1685606,16000074816,201674816,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/02/2016 06:03:27 PM,13XX BLOCK OF 4 AV,M,M3,8100.2019,-122.33532,47.608723,"(47.608723, -122.33532)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,03/02/2016 12:40:49 PM
1685350,16000075346,201675346,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 05:49:07 PM,BAGLEY AV N / N 46 ST,B,B3,5100.1002,-122.33254,47.662624,"(47.662624, -122.33254)",LIQUOR VIOLATIONS - ADULT,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 05:39:36 PM
1685602,16000074870,201674870,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 05:48:05 PM,COLUMBIA ST / 5 AV,K,K1,8500.1023,-122.3305,47.605125,"(47.605125, -122.3305)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 11:58:15 AM
1685597,16000074965,201674965,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 05:46:27 PM,BROADWAY E / E ROY ST,C,C1,6500.2012,-122.321335,47.625114,"(47.625114, -122.321335)",DOWN - CHECK FOR PERSON DOWN,PERSON DOWN/INJURY,CASUALTIES,03/02/2016 12:42:51 PM
1685554,16000075246,201675246,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 05:46:12 PM,2 AV / COLUMBIA ST,K,K1,8100.2036,-122.33383,47.603733,"(47.603733, -122.33383)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 04:16:06 PM
1685607,16000074783,201674783,071,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,03/02/2016 05:44:14 PM,92XX BLOCK OF GREENWOOD AV N,J,J1,1701.2004,-122.35537,47.696934,"(47.696934, -122.35537)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,03/02/2016 12:50:17 PM
1685588,16000075071,201675071,191,FELONY WARRANT SERVICE,WARRANT CALLS,ARREST,03/02/2016 05:43:04 PM,57XX BLOCK OF 22 AV NW,B,B1,4700.4005,-122.38474,47.670547,"(47.670547, -122.38474)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 03:10:49 PM
1685365,16000075320,201675320,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 05:42:43 PM,12 AV S / S JACKSON ST,G,G3,9100.1004,-122.31722,47.599186,"(47.599186, -122.31722)",FIGHT - VERBAL/ORAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,03/02/2016 05:41:11 PM
1685359,16000075329,201675329,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 05:42:28 PM,ALASKAN WY VI SB / UNIVERSITY ST,M,M1,8100.1009,-122.340164,47.606014,"(47.606014, -122.340164)",TRAFFIC - BLOCKING ROADWAY,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 05:27:29 PM
1685373,16000075307,201675307,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 05:40:03 PM,1XX BLOCK OF 1 AV S,K,K2,9200.2006,-122.33418,47.601303,"(47.601303, -122.33418)",TRESPASS,TRESPASS,TRESPASS,03/02/2016 05:02:28 PM
1685345,16000075353,201675353,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,03/02/2016 05:38:47 PM,6 AV / PIKE ST,M,M3,8200.1004,-122.334465,47.61114,"(47.61114, -122.334465)",FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,03/02/2016 05:29:56 PM
1685360,16000075327,201675327,242,FIGHT DISTURBANCE,DISTURBANCES,DISTURBANCES,03/02/2016 05:36:39 PM,23XX BLOCK OF S JACKSON ST,G,G3,8900.3024,-122.30168,47.599285,"(47.599285, -122.30168)",FIGHT - VERBAL/ORAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,03/02/2016 05:25:19 PM
1685604,16000074836,201674836,192,MISDEMEANOR WARRANT SERVICE,WARRANT CALLS,ARREST,03/02/2016 05:35:53 PM,4XX BLOCK OF 2 AV S,K,K3,9200.2002,-122.33139,47.601074,"(47.601074, -122.33139)",SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 11:11:54 AM
1685572,16000075189,201675189,101,"FORGERY, BAD CHECKS",FRAUD CALLS,FRAUD CALLS,03/02/2016 05:29:41 PM,27XX BLOCK OF NE 143 ST,L,L1,200.1007,-122.29725,47.731983,"(47.731983, -122.29725)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 03:57:42 PM
1685580,16000075162,201675162,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 05:29:39 PM,NW MARKET ST / 15 AV NW,B,B1,4700.3020,-122.37621,47.668663,"(47.668663, -122.37621)","TRU- MOTOR VEHICLE COLLISION, HIT AND RUN AFTER THE FACT",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 04:19:03 PM
1685525,16000075259,201675259,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",03/02/2016 05:29:38 PM,607 1 / 2 N 50 ST,B,B2,4900.1003,-122.351036,47.664833,"(47.664833, -122.351036)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 04:28:48 PM
1685363,16000075323,201675323,064,SHOPLIFT,THEFT,SHOPLIFTING,03/02/2016 05:29:36 PM,5XX BLOCK OF PIKE ST,M,M3,8200.1004,-122.335014,47.61091,"(47.61091, -122.335014)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 05:17:11 PM
1685353,16000075339,201675339,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 05:28:38 PM,6 AV S / S MICHIGAN ST,O,O3,10900.2073,-122.32616,47.54625,"(47.54625, -122.32616)","WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,03/02/2016 05:22:59 PM
1685384,16000075291,201675291,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/02/2016 05:28:08 PM,39XX BLOCK OF 1 AV NE,B,B3,5100.3000,-122.32789,47.65462,"(47.65462, -122.32789)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,03/02/2016 05:28:04 PM
1685523,16000075265,201675265,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 05:23:52 PM,1XX BLOCK OF OCCIDENTAL AV S,K,K2,9200.2006,-122.33288,47.6013,"(47.6013, -122.33288)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 04:36:21 PM
1685555,16000075245,201675245,073,AUTO RECOVERY,AUTO RECOVERIES,AUTO THEFTS,03/02/2016 05:23:36 PM,40XX BLOCK OF NE 85 ST,U,U3,2200.3021,-122.28484,47.69018,"(47.69018, -122.28484)",TRAFFIC - BLOCKING ROADWAY,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 04:30:40 PM
1685567,16000075201,201675201,200,ALACAD - COMMERCIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,03/02/2016 05:20:21 PM,46XX BLOCK OF E MARGINAL WY S,O,O2,9300.3188,-122.33944,47.56132,"(47.56132, -122.33944)","ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",ALACAD,SUSPICIOUS CIRCUMSTANCES,03/02/2016 05:15:55 PM
1685355,16000075337,201675337,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 05:19:56 PM,5XX BLOCK OF 3 AV,K,K2,8100.2043,-122.331085,47.602413,"(47.602413, -122.331085)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,03/02/2016 05:19:56 PM
1685586,16000075076,201675076,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 05:18:51 PM,8XX BLOCK OF FAIRVIEW AV N,D,D3,6600.1032,-122.333405,47.62675,"(47.62675, -122.333405)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,03/02/2016 02:38:23 PM
1685582,16000075147,201675147,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 05:18:05 PM,16XX BLOCK OF QUEEN ANNE AV N,Q,Q2,6800.2015,-122.35698,47.634136,"(47.634136, -122.35698)","TRU- MOTOR VEHICLE COLLISION, HIT AND RUN AFTER THE FACT",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 04:02:21 PM
1685364,16000075322,201675322,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 05:14:29 PM,5XX BLOCK OF S LANDER ST,O,O1,9300.3027,-122.32707,47.57981,"(47.57981, -122.32707)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 05:07:37 PM
1685377,16000075301,201675301,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,03/02/2016 05:11:00 PM,56XX BLOCK OF 45 AV NE,U,U3,4200.2017,-122.27947,47.66989,"(47.66989, -122.27947)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALACAD,SUSPICIOUS CIRCUMSTANCES,03/02/2016 05:08:32 PM
1685591,16000075030,201675030,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 05:08:57 PM,SW SPOKANE ST / DELRIDGE WY SW,W,W1,9900.4042,-122.36001,47.572094,"(47.572094, -122.36001)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 01:27:00 PM
1685583,16000075139,201675139,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 05:05:45 PM,1 AV S / S ROYAL BROUGHAM WY,K,K2,9300.2030,-122.3342,47.592396,"(47.592396, -122.3342)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 02:49:56 PM
1685592,16000075022,201675022,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 05:04:33 PM,UNION ST / 4 AV,M,M3,8100.2010,-122.33578,47.60922,"(47.60922, -122.33578)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 01:58:09 PM
1685566,16000075202,201675202,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,03/02/2016 05:01:00 PM,5XX BLOCK OF ROY ST,Q,Q3,7200.1078,-122.345604,47.625416,"(47.625416, -122.345604)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,03/02/2016 03:35:50 PM
1685387,16000075288,201675288,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/02/2016 04:59:39 PM,16XX BLOCK OF 18 AV,C,C3,7900.2002,-122.308846,47.615704,"(47.615704, -122.308846)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,03/02/2016 04:44:27 PM
1685593,16000075019,201675019,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 04:57:21 PM,PHINNEY AV N / N 65 ST,J,J3,3500.1010,-122.354355,47.67602,"(47.67602, -122.354355)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 01:19:35 PM
1685565,16000075205,201675205,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 04:54:38 PM,40XX BLOCK OF AIRPORT WY S,O,O2,9300.3173,-122.32266,47.567635,"(47.567635, -122.32266)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 04:43:00 PM
1685595,16000075003,201675003,201,ALACAD - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALACAD (FALSE),FALSE ALACAD,03/02/2016 04:52:54 PM,7XX BLOCK OF N 76 ST,J,J3,2800.2001,-122.34855,47.68403,"(47.68403, -122.34855)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALACAD,SUSPICIOUS CIRCUMSTANCES,03/02/2016 04:38:57 PM
1685388,16000075283,201675283,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/02/2016 04:51:20 PM,12XX BLOCK OF SW OTHELLO ST,F,F1,10800.1027,-122.35273,47.5373,"(47.5373, -122.35273)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,03/02/2016 04:38:20 PM
1685584,16000075118,201675118,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 04:50:47 PM,85XX BLOCK OF AURORA AV N,N,N3,1800.2010,-122.34453,47.690926,"(47.690926, -122.34453)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 02:45:07 PM
1685386,16000075289,201675289,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 04:49:51 PM,XX BLOCK OF S SPOKANE ST,O,O1,9300.3077,-122.33575,47.571724,"(47.571724, -122.33575)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 04:43:43 PM
1685561,16000075223,201675223,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 04:49:24 PM,6XX BLOCK OF S LANE ST,K,K3,9100.2012,-122.32441,47.596672,"(47.596672, -122.32441)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 04:22:29 PM
1685383,16000075292,201675292,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 04:47:08 PM,4XX BLOCK OF PINE ST,M,M3,8100.2004,-122.33732,47.61132,"(47.61132, -122.33732)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 04:45:09 PM
1685526,16000075256,201675256,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 04:44:29 PM,2XX BLOCK OF PIKE ST,M,M3,8100.2004,-122.33835,47.609516,"(47.609516, -122.33835)",TRESPASS,TRESPASS,TRESPASS,03/02/2016 04:14:07 PM
